STRAIN,FILEBASE
SCDAP-061714-2779,SCDAP-061714-2779_R[12].fastq.gz
SCDAP-062014-1272,SCDAP-062014-1272_R[12].fastq.gz
SCDAP-112917-2645B,SCDAP-112917-2645B_R[12].fastq.gz
SCDAP-112917-2645C,SCDAP-112917-2645C_R[12].fastq.gz
SCDAP-121615-0427A1,SCDAP-121615-0427A1_R[12].fastq.gz
SCDAP-121615-0427A2,SCDAP-121615-0427A2_R[12].fastq.gz
SCDAU-031913-2649B,SCDAU-031913-2649B_R[12].fastq.gz
SCDSP-012018-1118,SCDSP-012018-1118_R[12].fastq.gz
SCDSP-030817-1313,SCDSP-030817-1313_R[12].fastq.gz
SC_J12011,SC_J12011_S4_R[12]_001.fastq.gz
SC_J12016,SC_J12016_S5_R[12]_001.fastq.gz
SC_J12018A,SC_J12018A_S7_R[12]_001.fastq.gz
SC_J12018T,SC_J12018T_S6_R[12]_001.fastq.gz
SC_V164,SC_V164_S1_R[12]_001.fastq.gz
SC_V165,SC_V165_S2_R[12]_001.fastq.gz
SC_V169,SC_V169_S3_R[12]_001.fastq.gz
G1_2016,EV-001_S1_L001_R[12]_001.fastq.gz
G1_2019,EV-002_S2_L001_R[12]_001.fastq.gz
